N,MASCHIO,UNISEX,FEMMINA
18,"Senza rilevare a nessuno che taglia hai e senza farti vedere quanto bevi, dovrai bere in base alla taglia delle mutande che indossi solitamente; XS:0 S:x1/2 M:x1 L:x1e1/2 XLe+:x2","BONUS! Se al turno successivo dovrai bere tu, non berrai! (Valido solo per il turno successivo a questo)","Senza rilevare a nessuno che taglia hai e senza farti vedere quanto bevi, dovrai bere la metà della taglia di reggiseno che porti."
19,"Bevi per il numero equivalente alla quantità di tette femminili che sono presenti nella stanza ora, diviso 4!",BONUS! Per i prossimi due turni successivi a questo sei immune dal bere (Valido solo per i prossimi due turni),"Bevi per il numero equivalente al numero di peni che sono presenti nella stanza ora, diviso 2!"
20,,BONUS! Per i prossimi tre turni successivi a questo se dovrai bere dimezzerai la tua bevuta (Valido solo per i prossimi tre turni),
21,,I giocatori del sesso opposto al tuo dovranno scegliere all'unisono una canzone con il cantante di sesso opposto al tuo da farti cantare per almeno 10 secondi imitandone anche la voce,
22,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -ITA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
23,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -ETA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
24,Fai alzare tutte le ragazze in piedi e per ognuna di esse dovrai inchinarti e fare un baciamano,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -OTA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,"Per ogni giocatore di sesso maschile, baciati nella mano e soffia come se volessi far volare il bacio verso il destinatario."
25,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -EGO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
26,Verità! Bevi per dimenticare soldato! Bevi x1/2 per ogni volta che ti hanno lasciato.,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -LDI entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Verità! Questa è la vendetta degli ex! Bevi x1/2 per tutte le volte che hai lasciato!
27,Premio per chi si distingue dalla massa; se hai i capelli lunghi bevi x1/2! Come dici? Non è un premio? Ah scusa... va beh bevilo lo stesso.,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -OVO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Premio per chi si distingue dalla massa; se hai i capelli corti bevi x1/2! Come dici? Non è un premio? Ah scusa... va beh bevilo lo stesso.
28,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -OCA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
29,Scegli se una ragazza ti dovrà tirare uno schiaffo oppure bevi x1!,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -ECA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Scegli se un ragazzo ti dovrà mettere del fard in faccia o bevi x1. Se non avete del fard a disposizione bevi x1/2.
30,Fatti mettere il rossetto sulle labbra da una ragazza oppure bevi x1,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -OGO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Fatti truccare da un giocatore maschio a tua scelta oppure bevi x1
31,Comunque sta cosa che i maschi sono più alti delle ragazze non l'ho mica capita... Stai seduto sotto il tavolo per i prossimi 5 minuti,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -REA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Comunque io sta cosa che le ragazze sono generalmente più basse dei ragazzi non l'ho mica capita... Stai in piedi sulla sedia per i prossimi 5 minuti
32,Indossa una collana o un bracciale femminile finché la ragazza che ti ha imprestato ciò non dovrà bere x1,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -UMO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Mettiti dei tacchi se ce li hai a disposizione
33,Se hai a disposizione dei sandali da uomo indossali per i prossimi 5 turni. E comunque pessimo gusto.,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -PIO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,Balla la danza del ventre con musica a tema in sottofondo per 1 minuto (se non sai come fare guarda un tutorial)
34,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -AGO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
35,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -LTO entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
36,,A turno in ordine cronologico partendo da te dovete dire una parola terminante in -PRA entro 10 secondi. Il gioco si ferma quando qualcuno ripete una parola già detta o non ha più idee il quale dovrà beve x1!,
37,,Fai una capriola o bevi x1,
38,,Fai la ruota o bevi x1/2,
39,,Fai la verticale o bevi x1/2,
40,,"Se indossi delle mutande di colore diverso rispetto al nero bevi x1, se in particolar modo sono bianche allora bevi x2!",
41,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""SPORT"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
42,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""STORIA"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
43,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""ANIMALI"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
44,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""SCOPERTE E INVENZIONI"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
45,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""CIBO E BEVANDE"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
46,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""ALCOOL"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
47,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""MULTINAZIONALI MILIARDARIE"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
48,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""INDUSTRIA PORNOGRAFICA"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
49,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""SISTEMA SOLARE"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
50,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""SMARTPHONE E COMPUTER"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
51,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""APP SOCIAL"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
52,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""GEOGRAFIA"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
53,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""CLASSIFICHE MONDIALI O EUROPEE TRA STATI"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
54,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""POLITICA"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
55,,"Scegli un giocatore a cui devi fare una qualsiasi domanda di cultura generale sul argomento ""MUSICA"" dandogli 2 possibili risposte tra cui scegliere, una sola di queste è esatta e se la sbaglia dovrà bere x1! Per pensare alla domanda da porre puoi consultare internet.",
56,,"Tenendo le braccia tese e immobili verso l'alto, dovrai riuscire a sdraiarti a terra rotolare per 3 giri completi e rialzarti in piedi",
57,,Fai 10 addominali,
58,,"Scegli un giocatore con cui giocare a ""blocca pollice"" alla meglio di 3, chi perde fa 3 piegamenti",
59,,"Per i prossimi 5 minuti siediti per terra. (Se delle sfide impediranno la riuscita di questa, potrai stopparla e riprenderla non appena avrai compiuto l'altra sfida)",
60,,"Immaginati un animale con le gambe da cavalletta, ali da aquila e voce da mucca... e per i prossimi 20 secondi reincarnati in esso! Quindi saltella come una cavalletta, muovi le ali come un aquila e muggisci!",
61,,"Immaginati un animale con il corpo da serpente, zampe da t-rex e voce da pecora... e per i prossimi 20 secondi reincarnati in esso! Quindi unisci le gambe e striscia a terra con le braccia vicine al corpo belando in continuazione!",
62,,"Immaginati un animale con il corpo da gorilla, il collo da piccione e la voce da cane... e per i prossimi 20 secondi reincarnati in esso! Quindi inizia a muoverti e comportarti come un gorilla muovendo la testa e il collo come un piccione tutto questo abbaiando!",
63,,"Immaginati un animale con le gambe da fenicottero, occhi da talpa, ali da pollo e voce da scoiattolo... e per i prossimi 20 secondi reincarnati in esso! Dunque stai in piedi con una gamba rannicchiata all'insù e una tesa con una benda sugli occhi per non vedere con le braccia come fossero le ali di un pollo e in tutto questo squittisci!",
64,,"Fai 10 ripetizioni di ""Crunch Inverso""",
65,,Scegli un giocatore che ti tenga i piedi saldi mentre fai 10 addominali in modo preciso e lentamente,
66,,Gara di durata Plank tra tutti i giocatori chi perde beve x1!,
67,,Riproduci un brano che conosci a memoria a velocità x1.25 se già veloce di suo o x1.5 se abbastanza lenta e cantala provando a star dietro a quella velocità,
68,,Cantaci a cappella per almeno 10 secondi la prima canzone che ti viene in mente imitando la voce dell'artista,
69,,"MALUS! Se nel prossimo turno a questo dovrai bere tu, raddoppierai la tua bevuta",
70,,"MALUS! Se nei prossimi 2 turni a questo dovrai bere tu, raddoppierai la tua bevuta",
71,,MALUS! Se nel prossimo turno a questo qualcuno dovrà bere dividerà in modo equo la sua bevuta con te,
72,,Per 90 secondi spegnete la luce mettete una luce strobo tramite torcia del telefono e riproducete della musica da discoteca a volume un po' alto. Ballate e comportatevi tutti come foste in discoteca!,
73,,Sei un dj! Fino a nuovo ordine scegli te la musica da mettere in sottofondo!,
74,,Capo della notte! Fino a nuovo ordine scegli della musica da mettere in sottofondo!,
75,,Create tutti insieme in modo proporzionale una playlist di almeno 15 tracce totali e riproducetela fino a nuovo ordine!,
76,,Fai vibrare il cuore di tutti! Trova una playlist su App/Internet di musica Dance e riproducila fino a nuovo ordine!,
77,,Siamo tutti con te fratello! Trova una playlist su App/Internet di musica Rap/Trap e riproducila fino a nuovo ordine!,
78,,Tunz Tunz parapara Tunz Tunz! Trova una playlist su App/Internet di musica Techno o minimal e riproducila fino a nuovo ordine!,
79,,Cattura l'anima di tutti! Trova una playlist su App/Internet di musica Rock e riproducila fino a nuovo ordine!,
80,,Scegli una radio su internet su canale televisivo o tramite app e riproducila fino a nuovo ordine!,
81,,"Se fumi bevi x1, se fumi occasionalmente bevi x1, se non fumi bravo continua così!",
82,,Giocate a morra cinese sasso i perdenti bevono x1/2!,
83,,Il giocatore che ha più follower su Instagram beve x1/2 mentre il giocatore che ha meno follower beve x1!,
84,,"Il giocatore che ha più app sul telefono beve x1/2, mentre il giocatore che ha meno app beve x1!",
85,,Chi ha Tik Tok installato sul telefono beve x1!,
86,,Quanti giocatori hanno un telefono android? Quanti invece hanno IOS? La minoranza beve x1/2!,
87,,Stai in piedi per i prossimi 3 turni,
88,,Siediti a terra per i prossimi 3 turni,
89,,Scegli un giocatore a cui dovrai dare le spalle stando in piedi a pochi centimetri da lui per i prossimi 3 turni,
90,,Chi percepisce lo stipendio più alto beve x1! Stronzo!,
91,,A turno in ordine cronologico partendo da te dovete dire una parola che abbia le prime 3 lettere uguali alle 3 lettere finali della parola detta dalla persona precedente a te. Chi ripete o non ha idee entro 10 secondi beve x1! Inizi te con una parola a tua scelta ma che dia la possibilità di proseguire in modo semplice il gioco.,
92,,"Ballate fino alla fine del ritornello il ballo di gruppo ""Bomba"" con un video tutorial davanti",
93,,"Ballate fino alla fine del ritornello il ballo di gruppo ""Mueve la colita""",
94,,"Ballate fino alla fine del ritornello il ballo di gruppo ""Gangnam Style""",
95,,Salta... non ti chiedere il perché salta e basta.,
96,,Bacia sulla guancia il giocatore più lontano a te,
97,,Abbraccia per 20 secondi il giocatore più lontano a te,
98,,"Apri l'App di Tik Tok e imita i primi 6 video in ordine di come si presentano (Se non hai Tik Tok cerca un video su altre piattaforme e senza prima sceglierli cerca esempio ""balli Tik Tok"" ed effettua i primi 6)",
99,,"Ogni giocatore (tu compreso) sceglie un cucchiaio di un solo ingrediente liquido o semi liquido commestibile da versare in un bicchiere. Mischialo e ciò che ne viene dovrai berlo tutto! Immagino che questo intruglio si possa chiamare Bloody Merdy, vero? (Se siete in meno di 4 giocatori allora ogni giocatore sceglie 2 ingredienti)",
100,,"Prendi due fette di pane/crackers/gallette di riso e fai scegliere a ogni giocatore 1 ingrediente commestibile solido o semisolido che dovrà inserire su una fetta unisci le due fette e mangia questo delizioso panino... in barba a tutte le migliori catene di fast food, vero? (Se siete in meno di 4 giocatori allora ogni giocatore sceglie 3 ingredienti)",
101,,Chiedi a un assistente vocale di scegliere un numero compreso tra 0 e 20 e inizia una conta partendo da te (da 1) in ordine cronologico fino al numero detto dall'assistente vocale. Chi esce dovrà bersi x1/2!,
102,,"Chiedi a un assistente vocale di scegliere un numero compreso tra 0 e 25, il numero che uscirà sarà il quantitativo di ""affondi frontali"" che dovrai fare come penitenza! Pensala positivo, rispetto a una bevuta fa bene alla salute!",
103,,"Chiedi a un assistente vocale di scegliere un numero compreso tra 0 e 25, il numero che uscirà sarà il quantitativo di ""sumo squat con tocco del pavimento"" che dovrai fare come penitenza! Pensala positivo, rispetto a una bevuta fa bene alla salute!",
104,,"A meno che tu non indossi delle ciabatte, delle infradito, dei tacchi o dei sandali con zeppa togliti le scarpe... Invece voi altri giocatori preparatevi a morire dalla puzza!",
105,,Se avete a disposizione una maschera dovrai indossarla per i prossimi 10 turni,
106,,Il prossimo turno in cui tu sarai esente dalla sfida la dovrai passare ballando il tip tap,
107,,Il prossimo turno in cui tu sarai esente dalla sfida la dovrai passare ballando il un lento con una persona immaginaria,
108,,Il prossimo turno in cui tu sei esente dalla sfida dovrai ballare il cha cha cha,
109,,STOP ALLA MUSICA! Non so se avete in sottofondo della musica sono una semplice applicazione ma se per caso qualcuno sta riproducendo della musica la stoppi immediatamente!,
110,,Mettiti un bicchiere riempito per metà con dell'acqua in equilibrio sulla testa e non farlo cadere per almeno 30 secondi (scegli un bicchiere di carta o plastica... non vorremo mai che il bicchiere si rompesse mettendo a repentaglio la tua misera vita),
111,,Se tu sei uscito dalla stanza bevi x1/2!,
112,,"Fate un rapido calcolo di quanto avete speso oggi, ditelo ad alta voce e solo una volta fatto ciò procedete con la lettura di questa sfida... Fatto? Avete detto tutti ad alta voce quanto avete speso? Sicuri? Sicuri sicuri? Va bene okay... se ne sei convinto tu... Quindi tutti avete dato la vostra risposta? Ne sei proprio convinto? Bene bene... allora... innanzi tutto se qualcuno si è lamentato per le domande ossessive appena fatte beve x1. E poi la persona che ha speso di meno beve x1/2, così la prossima volta impari a far girare l'economia!",
113,,Scegli un giocatore con cui inventare un saluto simpatico da ricordare negli annali,
114,,Per i prossimi 5 minuti parli dando del lei agli altri giocatori,
115,,Per i prossimi 5 minuti parli in un dialetto scelto da te,
116,,Per i prossimi 5 minuti parli come fossi un orientale in vacanza in Italia,
117,,Per i prossimi 5 minuti parli come fossi un britannico in vacanza in Italia,
118,,Per i prossimi 5 minuti parli come fossi un tedesco in vacanza in Italia,
119,,Per i prossimi 5 minuti parli come fossi un cambogiano in vacanza in Italia,
120,,"Verità! Raccontaci la volta in cui hai avuto più celebrità nella tua vita. (Es: apparso su un giornale, in televisione, su qualche profilo social importante, ecc...)",
121,,Se entrambi i tuoi genitori provengono da regioni o stati diversi dal posto in cui sei nato bevi x1!,
122,,La prossima volta che dovrai bere berrai dal bicchiere di un'altra persona scelta da te!,
123,,"Hai nipoti? Se non ce li hai sei un topo! Lo so, se l'hai capita starai pensando che è una battuta cringe (e hai ragione). Hai 30 secondi per capirla e spiegarla agli altri altrimenti bevi x1!",
124,,Mima il titolo di un film chi indovina entro 30 secondi vince e riceve un abbraccio da te,
125,,"Il proprietario della casa per educazione versa da bere x1/2 a tutti, gli ospiti per non essere maleducati bevono.",
126,,Chi ha pagato da bere è esente dal bere per questo turno gli altri bevono x1/2,
127,,Testa o croce? Se indovini dimezzerai la tua prossima bevuta,
128,,Testa o croce? Se sbagli bevi x1/2,
129,,Chi ha brontolato per giocare a questo gioco beve x1/2!,
130,,Verità! Avessi a disposizione 3 desideri dal genio della lampada cosa sceglieresti di fare? (Non si possono moltiplicare i desideri),
131,,Verità! Vincessi alla lotteria una cifra pari a 1 milione di euro come utilizzeresti quel denaro?,
132,,Verità! Stai pensando di acquistare qualcosa di particolare in questo periodo? Se sì cosa?,
133,,"Fai braccio di ferro con un altro giocatore, il vincitore sarà immune dal bere solo per il prossimo turno ",
134,,Verità! Raccontaci una tua bella figura di merda,
135,,"Fai lo spelling del nome di ogni giocatore mettendoci massimo 15 secondi a persona, se sbagli bevi x1!",
136,,"Apri Instagram e commenta sotto il primo post che troverai in bacheca ""Pari mia nonna"", se non hai coraggio bevi x1!",
137,,"Apri Instagram e commenta sotto il primo post che troverai in bacheca ""Oggi credo mangerò una scatoletta di tonno"", se non hai coraggio bevi x1!",
138,,Se indossi un indumento rosso bevi x1/2! A meno che non sia capodanno... in quel caso non ne bevi 1/2 ma x1!,
139,,"Partendo da te in senso orario dovrete dire un sinonimo della parola ""combattere"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
140,,"Verità! Hai un aneddoto divertente o particolare capitato con la polizia, se sì raccontacelo!",
141,,Verità! Raccontaci la tua ultima multa presa,
142,,Raccontaci una barzelletta,
143,,Raccontaci una freddura,
144,,"Raccontaci una barzelletta sporca ",
145,,Chi ha i capelli rossi beve x1!,
146,,Chi è calvo beve x1!,
147,,"Immaginati di trovare un tuo caro amico in coma etilico, come pensi di poterlo aiutare e quali cose devi fare? Faccelo vedere tramite un giocatore scelto da te che simulerà di essere entrato in coma etilico. Dopo aver finito la scenetta cercate su internet se ciò che avete fatto è corretto, se è sbagliato perdete 1 minuto a studiarvi per bene cosa si dovrebbe fare in questi casi... è molto importante per voi!",
148,,Il meno abbronzato beve x1,
149,,Facci vedere 3 piroette,
150,,Verità! Elenca tutti gli sport fatti nella tua vita,
151,,"Per i prossimi 3 minuti parlerai come un ventriloquo. Quindi indossa un calzino nella tua mano e parla muovendo la ""marionetta""",
152,,Fino a che non berrai alzati e balla,
153,,"I giocatori scelgono dovrai dovrai lasciar sciogliere un cubetto di ghiaccio, se non hai del ghiccio pronto molto male.. assaggia mezzo cucchiaino di sale",
154,,Mangia mezzo cucchiaino di sale,
155,,Mangia 1 cucchiaio di zucchero,
156,,Verità! Ti sei mai ubriacato da solo?,
157,,"Chi sta leggendo ad alta voce per tutti è un grande ogni tanto dovrete chiamarlo ""Prof.""",
158,,Prova a toccarti il naso con la lingua,
159,,"Fai qualcosa che probabilmente nessun giocatore sa fare, successivamente i giocatori provano a emulare l'azione compiuta se nessuno effettivamente riesce la sfida è finita se qualcuno di voi riesce dovrà a sua volta lui/lei far qualcosa che nessun giocatore sa fare",
160,,Dì un insulto diverso per ogni giocatore,
161,,"Giocate a strega tocca colore e tu fai la strega, sceglierai chi avrà toccato per ultimo il colore da te indicato che dovrà bere x1! Se state giocando in due allora smezzatevi la bevuta quindi bevete x1/2 a testa e dite qual'è il vostro colore preferito",
162,,"I giocatori vergini bevono x1, se nessuno è vergine allora beve x1 il più tardivo",
