N,MASCHIO,UNISEX,FEMMINA
11,Togliti il pantalone e indossa il più corto costume da bagno che hai a disposizione.,Bacia il sedere di un giocatore scelto randomicamente!,"Cerca in che casistica rientri ed effettua l'obbligo corrispondente: 
-Se indossi sia le mutande che il/la pantalone/gonna togliti il pantalone.
-Se indossi le mutande ma non indossi il/la pantalone/gonna, togliti le mutande e copriti tramite un asciugamano.
-Se non indossi le mutande ma indossi il/la pantalone/gonna, allora toglieti quest'ultimo e copriti con un asciugamano.
-Se non rientri in nessuno di questi casi allora distribuisci x1 ad ogni giocatore!"
12,"Ehi bel maschione, togliti le mutande, mentre se già le hai tolte sei salvo per questa sfida","Il giocatore maschio e quello femmina che lanciando un dado fanno il numero più basso creano la coppia per questa sfida. L'uomo si sdraia a terra a pancia in su con le mani rivolte verso l'alto, la donna dovrà giocare a Twister con il corpo dell'uomo tramite un dado! Il 1° lancio sceglie quale parte del corpo la donna utilizzerà: se esce 1 labbra, 2 petto, 3 mano dx, 4 mano sx, 5 sedere, 6 nulla. Il 2° lancio decide su quale parte del corpo dell'uomo la donna posizionerà la sua parte del corpo scelta nel 1°lancio: se esce 1 faccia, 2 petto, 3 mano dx, 4 mano sx, 5 pacco, 6 nulla. Ripeti questi 2 lanci per altre 2 volte e se dopo questi 6 lanci totali riuscite a stare in posizione, rimaneteci finché una futura sfida fisica vi impedirà la riuscita di questa. Se invece la posizione è impossibile bevete entrambi x1!","Cerca in che casistica rientri ed effettua l'obbligo corrispondente: 
-Se indossi sia la maglia che il reggiseno e/o la canotta intima, togliti la maglia (e la felpa se la indossi).
-Se non indossi una maglia o una felpa ma indossi il reggiseno e/o la canotta intima, togliti il reggiseno e la canotta intima e potrai coprirti con una sciarpa/fular. 
-Se indossi una maglia ma non indossi il reggiseno e/o la canotta intima, togliti la maglia (e la felpa se la indossi) e potrai coprirti con una sciarpa/fular.
-Se non rientri in nessuno di questi casi allora distribuisci x1 ad ogni giocatore!"
13,"Scegli un giocatore donna a tua scelta, lei in piedi si piegherà leggermente e appoggerà le mani ad una superifice piana, tu dietro di lei dovrai muovere il bacino per 2 minuti.. ah, continuate pure con le sfide!","Scegli un giocatore del sesso opposto al tuo. Il giocatore maschile dovrà cercare di far toccare il soffitto con i piedi al giocatore femminile, la quale dovrà essere bendata e quindi dovrà farsi guidare nei movimenti dal giocatore maschile. In caso i due non ci riescano bevono entrambi x1 e 1/2!. Lo so è difficile, ma non impossibile!","Cerca in che casistica rientri ed effettua l'obbligo corrispondente: 
-Se indossi sia la maglia che il reggiseno e/o la canotta intima, togliti il reggiseno e la canotta intima.
-Se non indossi una maglia o una felpa ma indossi il reggiseno e/o la canotta intima, togliti il reggiseno e la canotta intima e potrai coprirti con una sciarpa/fular. 
-Se indossi una maglia ma non indossi il reggiseno e/o la canotta intima, togliti la maglia (e la felpa se la indossi) e potrai coprirti con una sciarpa/fular.
-Se non rientri in nessuno di questi casi allora distribuisci x1 ad ogni giocatore!"
14,"Sei diventato un Twister umano! Scegli un giocatore di sesso femminile, sdraiati a terra a pancia in su con le mani rivolte verso l'alto, la ragazza scelta dovrà giocare a Twister con il tuo corpo tramite un dado! Il 1° lancio sceglie quale parte del corpo la ragazza dovrà utilizzare: se esce 1 labbra, 2 petto, 3 mano dx, 4 mano sx, 5 sedere, 6 nulla. Il 2° lancio deciderà su quale tua parte del corpo dovrà posizionare la sua parte del corpo scelta nel 1°lancio: se esce 1 faccia, 2 petto, 3 mano dx, 4 mano sx, 5 pacco, 6 nulla. Ripeti questi 2 lanci per altre 2 volte e se dopo questi 6 lanci totali riuscite a stare in posizione, rimaneteci finché una futura sfida fisica vi impedirà la riuscita di questa. Se invece la posizione è impossibile bevete entrambi x1!",Scegli un giocatore del sesso opposto al tuo con cui dovrai gareggiare. Ora prendete un grissino (il più lungo possibile) e segnatevi l'esatta metà di quel grissino con esempio un po' di salsa. I due giocatori prendono l'estremità di quel grissino e la tengono in bocca stando uno di fronte all'altro. Con un breve conto alla rovescia dovrete iniziare a mangiare quel grissino e chi arriva per primo ad invadere (mangiandola) la metà dell'altro giocatore sarà il vincitore! Chi perde beve x1/2!,"Per te questa sfida sarà la più bella di tutte, questa è la tua serata fortunata! Hai ben 10 minuti di massaggio thai! Scegli un giocatore in modo randomico che sarà il massaggiatore, e ora vi spiego la procedura del massaggio thai. Riproduci una musica rilassante in sottofondo, bendati per bene e sdraiati, il massaggiatore dovrà cospargere con l'olio per massaggi tutto il tuo corpo per almeno 5 minuti, finito ciò il massaggiatore cerca su internet una lista di posizioni thai, tu rimanendo bendata affidati a ciò che ti dice di fare lui, dovete rimanere fermi in ogni posizione per circa 45 secondi quindi dovrete completare 6 posizioni. Per il massaggiato: rimani il più possibile in silenzio e rilassati, non guardare le posizioni prima di farle ma affidati alla sola voce del massaggiatore, ad ogni posizione lasciati andare a peso morto, credimi ti sentirai leggero dopo!"
15,Sdraiati a pancia in giù e cospargi e spalma per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sul tuo collo. In modo randomico scegli quale giocatore donna dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta beve x2!,"Scegli un giocatore del sesso opposto al tuo con cui dovrai gareggiare. Ora prendete 5 grissini (i più lunghi possibili) e segnatevi l'esatta metà di quei grissini con esempio un po' di salsa. I due giocatori prendono l'estremità del primo grissino e la tengono in bocca stando uno di fronte all'altro. Con un breve conto alla rovescia dovrete iniziare a mangiare il grissino arrivando a invadere (mangiando) la metà dell'altro giocatore e chi arriva per primo riceverà 1 punto, al termine dei 5 grissini e quindi dei 5 punti Chi ha il punteggio maggiore vince mentre chi perde beve x1/2!","Twerka su un giocatore maschio a tua scelta con una canzone reggeton in sottofondo per 1 minuto! Sii più sexy possibile! "
16,Sdraiati a pancia in giù e cospargi e spalma per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sulla tua schiena per farlo alzati la maglietta e cospargi la crema lungo tutta la tua spina dorsale. In modo randomico scegli quale giocatore donna dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta beve per x2!,"Il/la proprietario/a di casa invita tutti i giocatori del sesso opposto al suo a dormire abbracciati sotto le coperte del suo stesso letto questa sera oppure può non farlo bevendo x1! Se accetta ad invitare i giocatori del sesso opposto al suo, quelli che accetteranno l'invito saranno salvi i giocatori che rifiuteranno l'invito berranno x2!",Siediti dando la schiena sopra a un giocatore maschio a tua scelta per 5 minuti e muovi i fianchi in modo provocatorio!
17,"Sdraiati a pancia in giù e cospargi e spalma per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sul tuo ventre, dunque abbassi di 2 cm circa il pantalone senza alzarti la maglietta e cospargi lì la crema. In modo randomico scegli quale giocatore donna dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta beve x2!",,Estrai un giocatore del sesso maschile e siediti sulla faccia di un giocatore scelto da te oppure puoi rifiutarti bevendo x1 e 1/2 e il giocatore estratto la prossima volta che dovrà bere non berrà! A te la scelta!
18,"Stando sdraiato a terra un giocatore donna poggia (ovviamente delicatamente) il suo piede sul tuo pacco, state così per 2 turni!",,Un giocatore di sesso maschile ti fa un motorboat oppure bevi x1!
19,"Stando sdraiato a terra un giocatore donna poggia (ovviamente delicatamente) il suo piede senza scarpe sul tuo pacco, state così per 2 turni!",,Sdraiati a pancia in giù e fatti cospargere e spalmare per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sul tutto il tuo interno coscia. In modo randomico scegli quale giocatore uomo dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta egli beve x2!
20,"Ehi uomo! Alzati in piedi e poggia sulla tua postazione un cuscino poi tutte i giocatori di sesso femminile metteranno una mano sopra il cuscino, fatto ciò siediti sopra il cuscino con le loro mani sopra. Ogni giocatrice potrà togliere la mano quando capiterà a lei una sfida che non gli permette l'esecuzione di questa sfida.",,Sdraiati a pancia in sù e fatti cospargere e spalmare per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sulla parte alta del tuo seno (tranne ovviamente il capezzolo il quale può rimane coperto). In modo randomico scegli quale giocatore uomo dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta egli beve x2!
21,"Se indossi le mutande, abbassati i pantaloni fino alla fine della mutanda e stai così finché non dovrai bere!",,Sdraiati a pancia in sù e fatti cospargere e spalmare per bene un cucchiaino intero di Nutella (o qualsiasi altra crema) sul basso ventre (se indossi il pantalone o altro abbassalo di 2 cm circa). In modo randomico scegli quale giocatore uomo dovrà pulirti completamente usando solamente la bocca. Se una delle due parti si rifiuta egli beve x2!
22,Se indossi le mutande abbassati i pantaloni a metà culo come farebbe uno sgarro!,,"Scegli un giocatore di sesso maschile che sia abbastanza robusto. Dovrai farci vedere per 45 secondi un'improvvisazione di pole dance con il giocatore maschile che sarà il tuo palo sul quale ballerai la pole dance quindi dovrà rimanere in piedi teso con solo le gambe che possono essere un po' divaricate per avvantaggiare la ragazza. Se sei stanca o hai paura di cedere puoi farti leggermente aiutare dal giocatore maschile a sostenerti, l'importante è muoversi! PS: ricordatevi di mettere una musica adatta in sottofondo!"
23,"Scegli un giocatore donna in modo randomico e lancia un dado. Se esce 1 o 2 lei dovrà tenere la sua mano su una tua chiappa a pelle nuda! Se esce 3 o 4 dovrà tenere la sua mano sul tuo interno coscia a pelle nuda! Se esce 5 o 6 sei fortunato non succederà nulla... Ah quasi dimenticavo, prima di lanciare il dado puoi scegliere di rischiare e bere X3 evitando questa sfida!",,"Scegli un giocatore uomo in modo randomico e lancia un dado. Se esce 1 o 2 lui dovrà tenere la sua mano su una tua chiappa a pelle nuda! Se esce 3 o 4 dovrà tenere la sua mano su un tuo seno a pelle nuda! Se esce 5 o 6 sei fortunata non succederà nulla... Ah quasi dimenticavo, prima di lanciare il dado puoi scegliere di rischiare e bere X3 evitando questa sfida!"
24,"Se hai i baffi bevi x1! Se non ce li hai te li ""disegni"" con una crema o una salsa e scegli un giocatore scelto da te che te li dovrà pulire usando solo la bocca",,"È l'ora di fare miss maglietta bagnata! Vestiti solamente con mutande e una maglietta bianca stai sotto la doccia e un giocatore ti bagnerà per 20 secondi! Rimani così per altri 2 minuti poi dopo rivestiti esattamente come eri prima della sfida! Sì sì lo so... Starai facendo un sacco di storie sul fatto che non vuoi bagnarti i capelli che poi ti cola il trucco eccetera eccetera, ma siccome sono di buon cuore ti do io una soluzione, puoi non fare questa sfida ma dovrai bere x3! Poi non dire che non ti ho aiutata!"
25,"Scegli un giocatore randomicamente del sesso opposto al tuo con cui giocare a questa sfida. Mettiti seduto a terra con le gambe unite e dritte poggiate interamente sul pavimento. Fatto ciò dovete far partire il tempo (30s) entro il quale la giocatrice scelta dovrà cercare di far toccare la tua schiena a terra solamente tramite delle spinte con il suo sedere (di max 1 secondo l'una)! Tu non potrai usare le mani in alcun modo! Se dovessi toccare il pavimento bevi x1! ",,"Scegli un giocatore randomicamente del sesso opposto al tuo con cui giocare a questa sfida. Mettiti in piedi e divarica le gambe tra loro in modo da avere i piedi distanti almeno 60 cm tra loro, poi piegati fino a toccare il pavimento con le mani le quali saranno disposte una sopra l'altra. Per renderti l'idea quando sarai in posizione e come se stessi formando una piramide dove la punta è il tuo fondoschiena e i piedi e le mani ne formano gli angoli. Fatto ciò dovete far partire il tempo (30s) entro il quale il giocatore scelto dovrà cercare di farti perdere l'equilibrio solamente tramite delle spinte con il suo pacco sul tuo fondoschiena! Se dovessi perdere l'equilibrio bevi x1! "
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
