N,MASCHIO,UNISEX,FEMMINA
11,Fai un massaggio di 5 minuti ad un giocatore donna scelto randomicamente alla gambe.,"Scegli in modo randomico un giocatore a cui dovrai fare un massaggio alla schiena per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete.",Orgasma per 5 secondi!
12,"Fai un massaggio professionale di 10 minuti ad un giocatore scelto randomicamente, scegli tu quando farglielo","Scegli in modo randomico un giocatore a cui dovrai fare un massaggio ad una parte del corpo scelta dal fortunato massaggiato per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete.",Verità! Sei una ragazza clitoridea o vaginale? Puoi non rispondere bevendo x1/2!
13,Verità! Ti ricordi il primo porno con cui sei venuto? Raccontacelo! Puoi non rispondere bevendo x1/2!,"Scegli in modo randomico un giocatore che dovrà farti un massaggio ad una parte del corpo scelta da te per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete.","Verità! Hai mai avuto un rapporto lesbo? Se no, avresti la curiosità di provare?"
14,"Finché non dovrai bere rimani con le gambe incrociate, lo so è fastidioso ma secondo te perché te lo faccio fare?","Scegli in modo randomico un giocatore che dovrà farti un massaggio alla schiena per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete.","Indovina l'oggetto challenge? Bendati e siediti, ogni giocatore sceglierà 2 oggetti commestibili (es frutta o verdura) oppure una sua parte del corpo e lo avvicinerà alla tua bocca, il tuo obbiettivo è quello di indovinare di cosa si tratta con il solo utilizzo della bocca e della lingua (vietato mordere) hai tempo 30 secondi per ""oggetto""! (Se state giocando in meno di 4 ne scegliete 5 a testa)"
15,Più ci son tette meglio è! Calcola il numero di peni presenti nella stanza e dividili per il numero di tette femminili presenti nella stanza. Ecco questa è la quantità che dovrai bere! (Massima bevuta X3),"Scegli in modo randomico un giocatore che dovrà farti un massaggio al collo per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete.",Scegli se andare sotto la doccia e farti bagnare per 5 secondi vestita oppure bere x1!
16,Mettiti un po' di Nutella (o qualsiasi altra crema) sulla tua guancia e scegli in modo randomico quale giocatore donna dovrà pulirti completamente usando solamente la bocca,"Scegli un giocatore di sesso opposto al tuo. Entrambi state in piedi e il maschio abbraccerà la donna da dietro come una foste una coppia felice, state in questo modo per i prossimi 5 minuti",Per i prossimi 5 minuti bendati e stai sdraiata a pancia in sù mettendoti a mo' di stella marina se qualche sfida ostacola la riuscita di questa potrai fare la sfida lasciando scorrere il tempo ma rimanendo bendata
17,"Spero che tu sia un ragazzotto muscoloso, perché dovrai faticare bello! Scegli a sorte un giocatore tra quelli meno pesanti di te, il quale dovrà stare in piedi con le gambe rigide quindi senza possibilità di muovere o piegare le gambe. Il tuo compito è quello di sollevarlo da terra per fargli toccare il soffitto con tutto il palmo della mano, se non ce la fate tu bevi x1 l'altro giocatore x1/2",Sii più provocante possibile nel sussurarre il tipo di bianacheria che indossi al giocatore del sesso opposto al tuo più vicino a te per almeno 20 secondi! Sbizzarrisciti con la fantasia!,"Secondo una ricerca neozelandese la posizione più di comfort e rilassante per una donna è quella dove la donna è sdraiata a pancia in giù con una serie di cuscini sotto il ventre in modo da alzare il bacino il più possibile rispetto al resto del corpo ch invece rimane sdraiato a terra. L'altezza a cui deve arrivare il bacino è all'incirca a 40cm dalla superficie dove poggia il resto del corpo. Quindi se da ora in poi ci sarà una sfida dove dovrai ricevere un ""massaggio rilassante"" dovrai rimanere obbligatoriamente bendata e dovrai provare a emulare questo metodo. A fine massaggio facci sapere se effettivamente è rilassante! PS: segnatevi questa sfida per evitare di dimenticarvene!"
18,"Spero che tu sia un ragazzotto muscoloso, perché dovrai faticare bello! Scegli a sorte un giocatore tra quelli meno pesanti di te, il quale dovrà stare in piedi con le gambe rigide quindi senza possibilità di piegare le gambe. Il tuo compito è quello di sollevarlo da terra per fargli toccare il soffitto con il gomito, se non ce la fate tu bevi x1 l'altro giocatore x1/2",Solletico no stop da parte di tutti i giocatori per 20 secondi te non potrai rispondere!,"Mettiti piegata in modo da mantenere fermo un bicchiere di plastica posto sulla tua schiena, ora prova a fargli fare mezzo giro senza farlo cadere, se cade bevi x1 altrimenti la prossima volta che dovrai bere dimezzi!"
19,"Spero che tu sia un ragazzotto muscoloso, perché dovrai faticare bello! Scegli a sorte un giocatore tra quelli meno pesanti di te, il quale dovrà stare in piedi con le gambe rigide quindi senza possibilità di muovere o piegare le gambe. Il tuo compito è quello di sollevarlo da terra per fargli toccare il soffitto con tutto il palmo della mano per 10 secondi di fila, se non ce la fate entrambi bevete x1/2!","Verità! Hai mai fatto un rapporto anale? Se no, avresti la curiosità di provare?",Più c'è pene meglio è! Calcola il numero di tette femminili presenti nella stanza e dividili per il numero di peni presenti nella stanza. Ecco questa è la quantità che dovrai bere! (Massima bevuta X3)
20,"Spero che tu sia un ragazzotto muscoloso, perché dovrai faticare bello! Scegli a sorte un giocatore tra quelli meno pesanti di te, il quale dovrà stare in piedi con le gambe rigide quindi senza possibilità di piegare le gambe. Il tuo compito è quello di sollevarlo da terra per fargli toccare il soffitto con il gomito per 10 secondi di fila, se non ce la fate entrambi bevete x1/2!",Verità! Elencaci le posizioni sessuali che hai provato in vita tua! Puoi non rispondere bevendo x1/2!,Rimani bendata in piedi con le braccia dietro la schiena e con un mandarino intero o qualcosa di simile in bocca per 2 minuti. Hai la possibilità di evitare questo bevendo x2
21,Toccati il pacco per 5 secondi,Verità! Qual'è la tua prima posizione fatta? Puoi non rispondere bevendo x1/2!,Strizzati le tette per 5 volte
22,Da adesso finché non dovrai bere ogni inizio turno dovrai toccarti il pacco per 5 secondi,Scegli un giocatore del sesso opposto al tuo con cui fare questa sfida. L'uomo si sdraia a terra con la pancia in sù e la donna sopra di lui con la pancia in giù. State così per 3 minuti.,Da adesso finché non dovrai bere ogni inizio turno dovrai strizzarti tette per 5 volte
23,Per i prossimi 5 turni ogni volta che parlerai dovrai farlo toccandoti il pacco,Scegli un giocatore del sesso opposto al tuo con cui fare questa sfida. L'uomo si sdraia a terra con la pancia in sù e la donna sopra di lui con la pancia in sù. State così per 3 minuti.,Per i prossimi 5 turni ogni volta che parlerai dovrai farlo strizzandoti le tette
24,"Se ce l'hai a disposizione bevi un bicchiere intero di succo d'ananas! Lo sanno tutti che migliora il sapore del tuo sp... Emh, dai insomma, ci siamo capiti. ","Verità! Hai mai avuto una fantasia sessuale su un/una professore/essa? Se sì, su chi?","Sapevi che il kiwi è un frutto che migliora la sensazioni sessuali in una donna? Tutto ciò è possibile dagli acidi grassi polinsaturi omega3... beh sì, il pesce ne ha molti di più ma poi ti puzzerebbe l'alito e noi non vogliamo fare brutte figure giusto? Ottimo, quindi se hai un kiwi a disposizione mangialo! Oppure se proprio vuoi fare la figura della scaricatrice di porto mangiarti una puzzosissima scatoletta di tonno, poi non ti lamentare se rimarrai sola a vita eh!"
25,Verità! Baceresti mai un uomo per soldi? Se sì quanti?,Se indossi una maglietta un prescelto dovrà riempire un bicchiere d'acqua e bagnartela... Puoi fermare tutto questo bevendo x1!,Verità! Baceresti mai una donna per soldi? Se sì quanti?
26,Verità! Tette o culo? Spiegane il motivo.,"Hai mai fatto sesso in cambio di un favore? Sei sì, per cosa?",Verità! Meglio un ragazzo con la tartaruga ma con un piccolo pene o un ragazzo con la pancia ma ben dotato? Spiegane il motivo.
27,"Verità! Che tipo di mutanda stai indossando, slip o boxer? Di che colore? E di che marca?","Tra questi rapporti cosa non hai mai provato? Auto-masturbazione, masturbazione del partner, sesso standard, sesso con oggetti, sesso anale, sesso orale (ricevente), sesso orale (praticante) e spagnola.",Verità! Che tipo di mutanda stai indossando? Di che colore? E di che marca?
28,Verità! Hai mai indossato delle mutande da donna?,"State tutti in cerchio disposti possibilmente in modo che ogni giocatore ai suoi lati abbia giocatori di sesso opposto al suo. Ora metti una carta da gioco contro le tue labbra e aspirando con la bocca togli le mani lasciando la carta sollevata, l'obbiettivo è quello di passarsi la carta in senso orario da una bocca all'altra sempre aspirando quindi senza usare le mani. Se siete in più di 5 il vostro obbiettivo è quello di far fare un giro completo alla carta e se cade tra 2 giocatori essi bevono x1. Se siete tra 5 e 3 giocatori allora dovete far fare 3 giri interi alla carta e se cade tra due giocatori essi bevono x1. Se siete in 2 state seduti su una sedia uno di fronte all'altro, stando seduti piegatevi per passarvi la carta e poi tornate entrambi con la schiena contro lo schienale della sedia, passatevi la carta in questo modo per 10 volte in meno di 45 secondi, se non ce la fate bevete entrambi x1/2!",Verità! Hai mai indossato delle mutande da uomo?
29,Verità! Raro ma... Qualche ragazza ci ha mai provato con te senza conoscerti?,"Te e un giocatore scelto randomicamente state chiusi nel posto più piccolo che c'è in casa (es. sgabuzzino, doccia, spazio stretto tra due mobili) per almeno 5 minuti e se una sfida è chiaramente impossibile da eseguire, continuate questa e la farete più tardi.","Verità! Hai mai utilizzato a tuo vantaggio il fatto che una persona era invaghita di te? Se sì, racconta quando è successo"
30,Verità! Sei mai stato friendzonato?,"Verità! Ti piace essere insultato durante il sesso? Inoltre, ti hanno mai insultato durante un rapporto sessuale?",Verità! Hai mai utilizzato la tua sensualità per ottenere qualche vantaggio? Se sì raccontaci quando
31,Verità! Se ti sei mai masturbato in un luogo pubblico bevi x1!,Qual'è il giusto numero per te di rapporti alla settimana?,Verità! Quand'è l'ultima volta che ti sei masturbata? Se rispondi che non ti sei mai masturbata bevi x1 perché è una cazzata.
32,Verità! Raccontaci un'aneddoto in cui una ragazza ti ha fatto illudere che fosse interessata. Se non hai aneddoti bevi x1/2,"Hai in mano il potere! Prendi un cubetto di ghiaccio in mano e fallo scorrere lungo il corpo di chi vuoi tu finché non si scioglierà, mi raccomando scegli punti fastidiosi giusto per essere stronzi. È importante ricordare che la persona che scegli dovrà stare in piedi con le gambe leggermente divaricate!",Verità! Pensaci e dicci il complimento più fuori luogo che tu abbia mai ricevuto. Se non rispondi bevi x1/2!
33,,È giunta l'ora dell'agonia per te! Stai in piedi con le gambe leggermente divaricate. Ogni giocatore prenderà un cubetto di ghiaccio e lo farà scorrere lungo il tuo corpo finché non si scioglieranno.,
34,,"Il/la proprietario/a di casa invita tutti i giocatori del sesso opposto al suo a dormire nel suo stesso letto questa sera oppure può non farlo bevendo x1! Se accetta ad invitare i giocatori del sesso opposto al suo nel suo letto, quelli che accetteranno l'invito saranno salvi i giocatori che rifiuteranno l'invito berranno x1!",
35,,Verità! Quali devono essere i punti di forza di una persona per attrarti fisicamente? Fammi una classifica dei primi 5,
36,,Verità! Ha in in programma di far l'amore nelle prossime 24h?,
37,,Verità! Mai fatto il bagno al mare completamente nudo/a?,
38,,"Verità! Se vai alla scuola superiore o andavi, facci vedere la persona che reputavi più figa di tutte della scuola intera",
39,,Verità! Se dovessi scegliere andresti a letto con una persona che ha 6 anni in più o in meno di te?,
40,,Verità! Andresti mai in una spiaggia nudista?,
41,,Verità! Quale secondo te è il tuo punto forte per riuscire a rimorchiare?,
42,,Verità! Preferisci che l'organo riproduttivo del tuo partner ideale sia rasato/a o peloso/a? Quanto è importante da 1 a 10?,
43,,Verità! Facci una tua personale top 3 delle migliori posizioni sessuali,
44,,Verità! Hai mai avuto un rapporto sessuale con una persona che non conoscevi?,
45,,Verità! Staresti nuovamente insieme a un ex che hai avuto? Se sì perché?,
46,,Verità! Faresti mai una cosa a tre?,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
